Reg Day = 24 Jan,Holiday = 26 Jan,Reg Day = 16 Feb,Holiday = 03 Feb,Reg Day = 13 Mar,Holiday = 17 Mar,Reg Day = 12 Apr,Holiday = 14 Apr,Reg Day = 07 May,Holiday = 05 May,Reg Day = 13 Jun,Holiday = 30 Jun,Reg Day = 19 Jul,Holiday = 14 Jul,Reg Day = 31 Aug,Holiday = 15 Aug,Reg Day = 20 Sep,Holiday = 22 Sep,Reg Day = 07 Oct,Holiday = 20 Oct,Reg Day = 13 Nov,Holiday = 10 Nov,Reg Day = 10 Dec,Holiday = 08 Dec
1.37,1.38,1.77,1.45,1.78,1.82,1.88,2.03,2.18,2.20,1.89,1.83,1.73,1.74,1.85,1.73,1.74,1.89,1.94,2.19,1.76,1.88,1.54,1.70
1.24,1.25,1.60,1.33,1.63,1.66,1.72,1.85,2.01,2.04,1.74,1.67,1.58,1.59,1.68,1.58,1.60,1.73,1.75,2.00,1.61,1.73,1.42,1.56
1.18,1.19,1.51,1.28,1.57,1.58,1.62,1.73,1.89,1.91,1.67,1.59,1.51,1.52,1.60,1.50,1.53,1.63,1.65,1.87,1.53,1.63,1.35,1.48
1.15,1.16,1.46,1.23,1.52,1.52,1.55,1.65,1.81,1.81,1.62,1.53,1.49,1.48,1.55,1.45,1.49,1.56,1.59,1.79,1.48,1.60,1.30,1.42
1.17,1.16,1.45,1.23,1.49,1.52,1.54,1.62,1.78,1.77,1.62,1.53,1.50,1.48,1.53,1.45,1.48,1.56,1.59,1.74,1.48,1.55,1.31,1.41
1.28,1.25,1.52,1.33,1.57,1.56,1.62,1.63,1.81,1.77,1.68,1.58,1.60,1.52,1.62,1.51,1.60,1.60,1.69,1.77,1.56,1.58,1.41,1.45
1.47,1.34,1.62,1.38,1.69,1.58,1.68,1.63,1.79,1.71,1.74,1.58,1.72,1.53,1.70,1.58,1.72,1.61,1.85,1.77,1.64,1.57,1.58,1.43
1.63,1.38,1.73,1.45,1.84,1.59,1.81,1.65,1.88,1.68,1.87,1.61,1.88,1.57,1.80,1.64,1.88,1.65,1.99,1.79,1.76,1.56,1.70,1.53
1.85,1.46,1.91,1.55,2.08,1.68,2.10,1.73,2.17,1.74,2.14,1.71,2.15,1.68,2.04,1.75,2.15,1.76,2.25,1.87,2.03,1.66,1.91,1.62
2.11,1.58,2.17,1.67,2.39,1.83,2.48,1.86,2.50,1.85,2.45,1.85,2.45,1.82,2.35,1.86,2.46,1.90,2.55,2.00,2.36,1.77,2.19,1.74
2.27,1.64,2.36,1.75,2.62,1.93,2.73,1.99,2.74,1.96,2.67,1.98,2.65,1.92,2.55,1.94,2.68,2.04,2.78,2.13,2.57,1.86,2.39,1.85
2.29,1.65,2.40,1.76,2.66,1.98,2.78,2.05,2.81,2.03,2.76,2.02,2.69,1.97,2.58,1.95,2.77,2.09,2.83,2.19,2.62,1.89,2.43,1.87
2.27,1.65,2.37,1.76,2.60,2.00,2.78,2.09,2.79,2.05,2.75,2.02,2.65,1.96,2.56,1.93,2.77,2.07,2.82,2.19,2.61,1.94,2.42,1.94
2.16,1.58,2.23,1.70,2.56,1.92,2.69,2.03,2.77,2.04,2.62,1.96,2.53,1.88,2.47,1.86,2.68,2.00,2.71,2.15,2.52,1.91,2.33,1.80
2.18,1.53,2.22,1.65,2.59,1.89,2.74,1.99,2.81,2.06,2.61,1.91,2.54,1.84,2.46,1.82,2.72,1.98,2.78,2.16,2.53,1.90,2.37,1.75
2.17,1.49,2.12,1.60,2.59,1.87,2.75,1.92,2.81,2.07,2.57,1.88,2.53,1.81,2.46,1.80,2.74,1.93,2.77,2.14,2.53,1.87,2.37,1.71
2.18,1.49,2.09,1.59,2.56,1.84,2.74,1.90,2.80,2.06,2.58,1.86,2.52,1.80,2.43,1.78,2.72,1.91,2.75,2.12,2.53,1.81,2.39,1.71
2.17,1.53,2.08,1.59,2.49,1.81,2.65,1.91,2.71,2.03,2.56,1.87,2.47,1.80,2.38,1.78,2.65,1.90,2.69,2.09,2.52,1.80,2.38,1.74
2.22,1.71,2.09,1.74,2.40,1.87,2.54,1.94,2.55,1.94,2.49,1.92,2.42,1.83,2.36,1.82,2.59,1.99,2.72,2.23,2.57,1.96,2.43,1.94
2.24,1.83,2.20,1.84,2.46,2.06,2.59,2.13,2.60,2.09,2.49,2.03,2.38,2.02,2.43,2.02,2.56,2.12,2.74,2.33,2.52,2.03,2.42,2.00
2.11,1.83,2.08,1.83,2.36,2.06,2.49,2.17,2.45,2.20,2.41,2.11,2.33,2.05,2.39,2.03,2.48,2.12,2.61,2.32,2.42,2.04,2.24,1.99
1.93,1.77,1.94,1.79,2.20,2.06,2.36,2.17,2.37,2.22,2.23,2.11,2.18,2.05,2.27,2.04,2.33,2.11,2.38,2.30,2.19,2.03,2.07,1.94
1.73,1.57,1.78,1.73,2.05,2.01,2.23,2.16,2.35,2.25,2.12,2.10,2.08,2.02,2.15,1.92,2.20,2.08,2.27,2.30,2.08,2.01,1.83,1.82
1.54,1.36,1.60,1.65,1.89,1.94,2.13,2.14,2.30,2.27,2.02,2.10,1.83,1.96,2.03,1.81,2.08,2.02,2.16,2.23,1.94,1.96,1.75,1.72
