Reg Day = 24 Jan,Holiday = 26 Jan,Reg Day = 16 Feb,Holiday = 03 Feb,Reg Day = 13 Mar,Holiday = 17 Mar,Reg Day = 12 Apr,Holiday = 14 Apr,Reg Day = 07 May,Holiday = 05 May,Reg Day = 13 Jun,Holiday = 30 Jun,Reg Day = 19 Jul,Holiday = 14 Jul,Reg Day = 31 Aug,Holiday = 15 Aug,Reg Day = 20 Sep,Holiday = 22 Sep,Reg Day = 07 Oct,Holiday = 20 Oct,Reg Day = 13 Nov,Holiday = 10 Nov,Reg Day = 10 Dec,Holiday = 08 Dec
0.05,0.041883,0.09,0.02,0.06,0.07,0.09,0.08,0.08,0.05,0.1,0.11,0.07,0.04,0.06,0.02,0.04,0.03,0.05,0.1,0.07,0.1,0.11,0.114856074
0.05,0.0379375,0.08,0.02,0.06,0.06,0.08,0.07,0.08,0.05,0.09,0.1,0.06,0.04,0.06,0.01,0.04,0.03,0.05,0.09,0.06,0.09,0.1,0.105337615
0.04,0.0361165,0.08,0.02,0.06,0.06,0.07,0.07,0.07,0.04,0.09,0.1,0.06,0.04,0.05,0.01,0.04,0.03,0.04,0.08,0.06,0.08,0.1,0.099753452
0.04,0.035206,0.07,0.02,0.06,0.06,0.07,0.07,0.07,0.04,0.09,0.09,0.06,0.04,0.05,0.01,0.04,0.03,0.04,0.08,0.06,0.08,0.09,0.095692243
0.04,0.035206,0.07,0.02,0.05,0.06,0.07,0.07,0.07,0.04,0.09,0.09,0.06,0.04,0.05,0.01,0.04,0.03,0.04,0.08,0.06,0.08,0.09,0.095184592
0.05,0.0379375,0.08,0.02,0.06,0.06,0.07,0.07,0.07,0.04,0.09,0.1,0.06,0.04,0.05,0.01,0.04,0.03,0.05,0.08,0.06,0.08,0.1,0.097849761
0.05,0.040669,0.08,0.02,0.06,0.06,0.08,0.07,0.07,0.04,0.09,0.1,0.06,0.04,0.06,0.01,0.04,0.03,0.05,0.08,0.06,0.08,0.11,0.09645372
0.06,0.041883,0.09,0.02,0.07,0.06,0.08,0.07,0.07,0.04,0.1,0.1,0.07,0.04,0.06,0.01,0.05,0.03,0.05,0.08,0.07,0.08,0.12,0.103180098
0.07,0.044311,0.1,0.02,0.08,0.06,0.1,0.07,0.08,0.04,0.11,0.11,0.08,0.04,0.07,0.02,0.05,0.03,0.06,0.08,0.08,0.08,0.14,0.109398824
0.08,0.047953,0.11,0.03,0.09,0.07,0.11,0.07,0.09,0.04,0.13,0.11,0.09,0.04,0.08,0.02,0.06,0.03,0.07,0.09,0.09,0.09,0.16,0.117648156
0.08,0.049774,0.12,0.03,0.1,0.07,0.12,0.08,0.1,0.05,0.14,0.12,0.1,0.05,0.08,0.02,0.06,0.03,0.07,0.1,0.1,0.09,0.17,0.124882185
0.09,0.0500775,0.12,0.03,0.1,0.07,0.13,0.08,0.11,0.05,0.14,0.12,0.1,0.05,0.09,0.02,0.07,0.03,0.08,0.1,0.1,0.1,0.17,0.126341682
0.08,0.0500775,0.12,0.03,0.09,0.07,0.13,0.08,0.1,0.05,0.14,0.12,0.1,0.05,0.09,0.02,0.07,0.03,0.08,0.1,0.1,0.1,0.17,0.131100911
0.08,0.047953,0.11,0.03,0.09,0.07,0.12,0.08,0.1,0.05,0.14,0.12,0.1,0.05,0.08,0.02,0.06,0.03,0.07,0.1,0.1,0.1,0.17,0.121836278
0.08,0.0464355,0.11,0.03,0.09,0.07,0.12,0.08,0.11,0.05,0.14,0.12,0.1,0.04,0.08,0.02,0.07,0.03,0.07,0.1,0.1,0.1,0.17,0.118600002
0.08,0.0452215,0.11,0.02,0.09,0.07,0.13,0.08,0.11,0.05,0.14,0.12,0.1,0.04,0.08,0.02,0.07,0.03,0.07,0.1,0.1,0.1,0.17,0.11580792
0.08,0.0452215,0.11,0.02,0.09,0.07,0.13,0.08,0.11,0.05,0.14,0.11,0.09,0.04,0.08,0.02,0.07,0.03,0.07,0.1,0.1,0.09,0.17,0.115617551
0.08,0.0464355,0.11,0.02,0.09,0.07,0.12,0.08,0.1,0.05,0.13,0.12,0.09,0.04,0.08,0.02,0.06,0.03,0.07,0.09,0.1,0.09,0.17,0.117901981
0.08,0.0518985,0.11,0.03,0.09,0.07,0.12,0.08,0.1,0.04,0.13,0.12,0.09,0.04,0.08,0.02,0.06,0.03,0.07,0.1,0.1,0.1,0.17,0.131418193
0.08,0.0555405,0.11,0.03,0.09,0.08,0.12,0.09,0.1,0.05,0.13,0.13,0.09,0.05,0.08,0.02,0.06,0.03,0.07,0.11,0.1,0.1,0.17,0.135098664
0.08,0.0555405,0.11,0.03,0.09,0.08,0.11,0.09,0.09,0.05,0.13,0.13,0.09,0.05,0.08,0.02,0.06,0.03,0.07,0.11,0.09,0.1,0.16,0.13465447
0.07,0.0537195,0.1,0.03,0.08,0.08,0.11,0.09,0.09,0.05,0.12,0.13,0.08,0.05,0.08,0.02,0.06,0.03,0.06,0.1,0.09,0.1,0.15,0.130910542
0.06,0.0476495,0.09,0.03,0.07,0.07,0.1,0.09,0.09,0.05,0.11,0.13,0.08,0.05,0.07,0.02,0.05,0.03,0.06,0.1,0.08,0.1,0.13,0.123295775
0.06,0.041276,0.08,0.03,0.07,0.07,0.1,0.09,0.09,0.05,0.11,0.13,0.07,0.05,0.07,0.02,0.05,0.03,0.06,0.1,0.08,0.1,0.13,0.116442484
